
Total number of files: 361
Total number of lines: 61,305
Total number of commits: 2,887
+---------------+--------+---------+-------+---------------+-----------+-----------+-----------+
| name          | loc    | commits | files | distribution  | added     | deleted   | total     |
+---------------+--------+---------+-------+---------------+-----------+-----------+-----------+
| Fabian Pra... | 49,632 | 2,103   | 246   | 81.0 / 72.... | 5,677,417 | 3,847,320 | 1,830,097 |
| Florian Ko... | 9,724  | 559     | 193   | 15.9 / 19.... | 1,927,819 | 1,851,093 | 76,726    |
| Karol Babioch | 1,940  | 220     | 11    | 3.2 / 7.6 ... | 17,930    | 9,959     | 7,971     |
| Shu           | 9      | 1       | 1     | 0.0 / 0.0 ... | 519       | 4         | 515       |
| ARX           | 0      | 2       | 0     | 0.0 / 0.1 ... | 0         | 0         | 0         |
| Igor Vujos... | 0      | 1       | 0     | 0.0 / 0.0 ... | 0         | 0         | 0         |
| Raffael Bild  | 0      | 1       | 0     | 0.0 / 0.0 ... | 0         | 0         | 0         |
+---------------+--------+---------+-------+---------------+-----------+-----------+-----------+
7 rows in set
